PAUD;;;;;;bank;seminari
TK;;;;;;beauty_salon;Gereja Kristen
SD;;;;;;car_repair;Gereja Katolik
madrasah ibtidaiyah;;;;;;clothing_store;Pura
SMP;;;;;;convenience_store;Wihara
Madrasah Tsanawiyah;;;;;;department_store; Kelenteng
SMA;;;;;;doctor;Gedung bersejarah
SLB ;;;;;;gas_station;Candi
Madrasah Aliyah;;;;;;grocery_or_supermarket;
SMK;;;;;;hospital;
Universitas;;;;;;insurance_agency;
Perguruan Tinggi;;;;;;local_government_office;
Madrasah Diniyah;;;;;;police;
Rumah sakit;;;;;;primary school;
Puskesmas;;;;;;restaurant;
Poliklinik;;;;;;secondary_school;
Balai pengobatan;;;;;;travel_agency;
dokter;;;;;;zoo;
Rumah bersalin;;;;;;university;
bidan;;;;;;pharmacy;
Poskesdes;;;;;;atm;
Polindes;;;;;;aquarium;
Apotek;;;;;;park;
Toko khusus obat;;;;;;tourist attraction;
Toko khusus jamu;;;;;;rv_park;
Karaoke;;;;;;mosque;
Kantor camat;;;;;;church;
Kantor bupati walikota;;;;;;hindu_temple;
Masjid;;;;;;;
musola;;;;;;;
Pasar;;;;;;;
Toko kelontong;;;;;;;
Restoran;;;;;;;
Rumah makan;;;;;;;
Warung;;;;;;;
Kedai makanan minuman;;;;;;;
Hotel;;;;;;;
Hostel;;;;;;;
Motel;;;;;;;
Losmen;;;;;;;
Wisma;;;;;;;
Bank;;;;;;;
BPR;;;;;;;
Baitul Maal Wa Tamwil;;;;;;;
Pegadaian;;;;;;;
ATM;;;;;;;
Bengkel mobil;;;;;;;
Bengkel motor;;;;;;;
Salon kecantikan;;;;;;;
Agen tiket;;;;;;;
Agen travel;;;;;;;
Agen biro perjalanan;;;;;;;
Agen bank;;;;;;;
Pos polisi;;;;;;;
Kos-kosan;;;;;;;
lapas;;;;;;;
Apartemen;;;;;;;
Rumah susun;;;;;;;
Bimbel ;;;;;;;
Bela diri ;;;;;;;
Sekolah Musik ;;;;;;;
Sanggar Tari ;;;;;;;
Pengobatan Tradisional ;;;;;;;
SPBU ;;;;;;;
Koperasi;;;;;;;
Panti Asuhan;;;;;;;
Panti jompo;;;;;;;
wisata;;;;;;;
